"코드.번호","CODE","회사명","업종.대.","업종.소.","코스피코스닥","국내여부"
"A222110",222110,"팬젠","제약 및 바이오","바이오","코스닥",1
"A058430",58430,"포스코강판","철강 및 비철강","강판","코스피",1
"A250060",250060,"모비스","IT서비스","시스템서비스","코스닥",1
"A065170",65170,"넥스트BT","식음료","식료품","코스닥",1
"A140070",140070,"서플러스글로벌","반도체 관련장비 및 부품","반도체장비","코스닥",1
"A001470",1470,"삼부토건","건설 및 건축자재","중견건설사","코스피",1
"A289080",289080,"SV인베스트먼트","금융","기타 금융","코스닥",1
"A234300",234300,"에스트래픽","IT서비스","소프트웨어","코스닥",1
"A058730",58730,"다스코","건설 및 건축자재","거푸집","코스피",1
"A067000",67000,"조이시티","미디어 및 엔터","게임","코스닥",1
"A064800",64800,"필링크","IT서비스","시스템서비스","코스닥",1
"A051360",51360,"토비스","레저산업","카지노","코스닥",1
"A008250",8250,"이건산업","건설 및 건축자재","목재","코스피",1
"A123040",123040,"엠에스오토텍","자동차 및 관련부품","차체부품","코스닥",1
"A130660",130660,"한전산업","유틸리티","전력","코스피",1
"A034300",34300,"신세계건설","건설 및 건축자재","중견건설사","코스피",1
"A002880",2880,"대유에이텍","자동차 및 관련부품","차량 시트","코스피",1
"A053700",53700,"삼보모터스","자동차 및 관련부품","기타 자동차부품","코스닥",1
"A025750",25750,"한솔홈데코","건설 및 건축자재","목재","코스피",1
"A014280",14280,"금강공업","건설 및 건축자재","거푸집","코스피",1
"A093190",93190,"빅솔론","전기 및 전자기기","전기장비","코스닥",1
"A259630",259630,"엠플러스","IT 장비 및 소재","2차전지","코스닥",1
"A009440",9440,"KC그린홀딩스","기계","플랜트설비","코스피",1
"A241790",241790,"오션브릿지","반도체 관련장비 및 부품","반도체장비","코스닥",1
"A004650",4650,"창해에탄올","식음료","음료","코스닥",1
"A016710",16710,"대성홀딩스","IT서비스","인터넷서비스","코스피",1
"A134790",134790,"시디즈","가정용품","가구","코스피",1
"A260660",260660,"알리코제약","제약 및 바이오","제약","코스닥",1
"A049520",49520,"유아이엘","IT 장비 및 소재","스마트폰 부품","코스닥",1
"A063160",63160,"종근당바이오","제약 및 바이오","원료의약품","코스피",1
"A079940",79940,"가비아","IT서비스","인터넷서비스","코스닥",1
"A009300",9300,"삼아제약","제약 및 바이오","제약","코스닥",1
"A012200",12200,"계양전기","기계","전동공구","코스피",1
"A142280",142280,"녹십자엠에스","의료기기 및 용품","의료용품","코스닥",1
"A058400",58400,"KNN","미디어 및 엔터","미디어","코스닥",1
"A050110",50110,"캠시스","IT 장비 및 소재","카메라모듈","코스닥",1
"A022220",22220,"정산애강","건설 및 건축자재","건축자재","코스닥",1
"A001550",1550,"조비","화학","비료 및 농약","코스피",1
"A101490",101490,"에스앤에스텍","디스플레이 장비 및 부품","디스플레이 부품","코스닥",1
"A016090",16090,"대현","섬유 및 의류","의류","코스피",1
"A003100",3100,"선광","운송 및 물류","운송인프라","코스닥",1
"A094850",94850,"참좋은여행","레저산업","자전거","코스닥",1
"A002900",2900,"동양물산","기계","농업용기계","코스피",1
"A102120",102120,"어보브반도체","반도체 관련장비 및 부품","반도체 설계","코스닥",1
"A037270",37270,"YG PLUS","가정용품","화장품","코스피",1
"A099320",99320,"쎄트렉아이","기계","우주항공","코스닥",1
"A950130",950130,"엑세스바이오","의료기기 및 용품","진단기기","코스닥",0
"A002600",2600,"조흥","식음료","식료품","코스피",1
"A046120",46120,"오르비텍","기계","우주항공","코스닥",1
"A214870",214870,"뉴지랩","전기 및 전자기기","보안장비","코스닥",1
"A036180",36180,"영인프런티어","제약 및 바이오","바이오","코스닥",1
"A023800",23800,"인지컨트롤스","자동차 및 관련부품","엔진부품","코스피",1
"A091590",91590,"남화토건","건설 및 건축자재","중견건설사","코스닥",1
"A040420",40420,"정상제이엘에스","일반서비스","교육","코스닥",1
"A900310",900310,"컬러레이","가정용품","화장품","코스닥",0
"A114810",114810,"아이원스","IT 장비 및 소재","IT 소재 및 부품","코스닥",1
"A034810",34810,"해성산업","일반서비스","부동산","코스닥",1
"A077360",77360,"덕산하이메탈","반도체 관련장비 및 부품","반도체 부품","코스닥",1
"A190510",190510,"나무가","IT 장비 및 소재","카메라모듈","코스닥",1
"A048910",48910,"대원미디어","유아동산업","유아동산업","코스닥",1
"A002630",2630,"오리엔트바이오","제약 및 바이오","바이오","코스피",1
"A126880",126880,"제이엔케이히터","기계","플랜트설비","코스닥",1
"A900250",900250,"크리스탈신소재","화학","기타 화학","코스닥",0
"A092440",92440,"기신정기","기계","금형","코스피",1
"A174880",174880,"장원테크","IT 장비 및 소재","스마트폰 부품","코스닥",1
"A039830",39830,"오로라","유아동산업","유아동산업","코스닥",1
"A066590",66590,"우수AMS","자동차 및 관련부품","조향부품","코스닥",1
"A017040",17040,"광명전기","기계","전력기자재","코스피",1
"A082800",82800,"루미마이크로","전기 및 전자기기","LED","코스닥",1
"A047770",47770,"코데즈컴바인","섬유 및 의류","의류","코스닥",1
"A217620",217620,"디딤","식음료","외식업","코스닥",1
"A043090",43090,"팜스웰바이오","제약 및 바이오","원료의약품","코스닥",1
"A208640",208640,"썸에이지","미디어 및 엔터","게임","코스닥",1
"A041440",41440,"에버다임","기계","중장비 및 관련품","코스닥",1
"A217600",217600,"켐온","제약 및 바이오","바이오","코스닥",1
"A193250",193250,"와이제이엠게임즈","IT 장비 및 소재","스마트폰 부품","코스닥",1
"A204840",204840,"지엘팜텍","제약 및 바이오","제약","코스닥",1
"A211270",211270,"AP위성","통신","통신장비","코스닥",1
"A041910",41910,"에스텍파마","제약 및 바이오","원료의약품","코스닥",1
"A127160",127160,"매직마이크로","전기 및 전자기기","LED","코스닥",1
"A080220",80220,"제주반도체","반도체 관련장비 및 부품","반도체 설계","코스닥",1
"A033320",33320,"제이씨현시스템","전기 및 전자기기","전자기기","코스닥",1
"A069920",69920,"아이에스이커머스","유통","전자상거래","코스닥",1
"A041460",41460,"한국전자인증","IT서비스","공인인증서","코스닥",1
"A012160",12160,"영흥철강","철강 및 비철강","선재(와이어)","코스피",1
"A000650",650,"천일고속","운송 및 물류","육상운송","코스피",1
"A080000",80000,"에스엔유","디스플레이 장비 및 부품","디스플레이 장비","코스닥",1
"A043290",43290,"케이맥","디스플레이 장비 및 부품","디스플레이 장비","코스닥",1
"A228340",228340,"동양파일","건설 및 건축자재","건축자재","코스닥",1
"A014710",14710,"사조씨푸드","식음료","식료품","코스피",1
"A246710",246710,"티앤알바이오팹","제약 및 바이오","바이오","코스닥",1
"A045970",45970,"코아시아","IT 장비 및 소재","IT 소재 및 부품","코스닥",1
"A016790",16790,"현대사료","식음료","사료","코스닥",1
"A035620",35620,"바른손이앤에이","미디어 및 엔터","게임","코스닥",1
"A061250",61250,"화일약품","제약 및 바이오","제약","코스닥",1
"A196450",196450,"디오스텍","IT 장비 및 소재","카메라모듈","코스닥",1
"A226360",226360,"이엑스티","건설 및 건축자재","건축자재","코스닥",1
"A027710",27710,"팜스토리","식음료","사료","코스닥",1
"A007540",7540,"샘표","식음료","식료품","코스피",1
"A065150",65150,"MP그룹","식음료","식료품","코스닥",1
"A075180",75180,"새론오토모티브","자동차 및 관련부품","제동장치","코스피",1
"A060310",60310,"3S","반도체 관련장비 및 부품","반도체장비","코스닥",1
"A093920",93920,"서원인텍","IT 장비 및 소재","스마트폰 부품","코스닥",1
"A006340",6340,"대원전선","전기 및 전자기기","케이블","코스피",1
"A090710",90710,"휴림로봇","기계","산업용 로봇","코스닥",1
"A007630",7630,"폴루스바이오팜","통신","통신장비","코스피",1
"A009070",9070,"KCTC","운송 및 물류","운송인프라","코스피",1
"A005800",5800,"신영와코루","섬유 및 의류","의류","코스피",1
"A091970",91970,"나노캠텍","디스플레이 장비 및 부품","디스플레이 부품","코스닥",1
"A001380",1380,"SG충방","자동차 및 관련부품","차량 시트","코스피",1
"A035290",35290,"더블유에프엠","일반서비스","교육","코스닥",1
"A089230",89230,"THE E&M","철강 및 비철강","강관","코스닥",1
"A039610",39610,"화성밸브","기계","피팅 및 밸브","코스닥",1
"A020760",20760,"일진디스플","디스플레이 장비 및 부품","디스플레이 부품","코스피",1
"A007860",7860,"서연","자동차 및 관련부품","차량 내장재","코스피",1
"A187220",187220,"디티앤씨","전기 및 전자기기","전자기기","코스닥",1
"A025560",25560,"미래산업","반도체 관련장비 및 부품","반도체장비","코스피",1
"A066110",66110,"한프","전기 및 전자기기","전자기기","코스닥",1
"A033830",33830,"티비씨","미디어 및 엔터","미디어","코스닥",1
"A027040",27040,"서울전자통신","IT 장비 및 소재","파워서플라이","코스닥",1
"A094820",94820,"일진파워","기계","플랜트설비","코스닥",1
"A096350",96350,"대창솔루션","조선","조선기자재","코스닥",1
"A049080",49080,"기가레인","IT 장비 및 소재","IT 소재 및 부품","코스닥",1
"A122310",122310,"제노레이","의료기기 및 용품","의료기기","코스닥",1
"A094940",94940,"푸른기술","전기 및 전자기기","전자기기","코스닥",1
"A105840",105840,"우진","기계","기계","코스피",1
"A119650",119650,"KC코트렐","기계","플랜트설비","코스피",1
"A024950",24950,"삼천리자전거","레저산업","자전거","코스닥",1
"A003080",3080,"성보화학","화학","비료 및 농약","코스피",1
"A088910",88910,"동우팜투테이블","식음료","식료품","코스닥",1
"A131290",131290,"티에스이","반도체 관련장비 및 부품","반도체장비","코스닥",1
"A037070",37070,"파세코","가정용품","주방용품","코스닥",1
"A011090",11090,"에넥스","가정용품","가구","코스피",1
"A033170",33170,"시그네틱스","반도체 관련장비 및 부품","반도체장비","코스닥",1
"A006580",6580,"대양제지","종이 및 용기","종이","코스닥",1
"A120030",120030,"조선선재","철강 및 비철강","봉형강","코스피",1
"A150840",150840,"인트로메딕","의료기기 및 용품","의료기기","코스닥",1
"A017370",17370,"우신시스템","자동차 및 관련부품","차체부품","코스피",1
"A087260",87260,"모바일어플라이언스","자동차 및 관련부품","전장부품","코스닥",1
"A900270",900270,"헝셩그룹","유아동산업","유아동산업","코스닥",0
"A001570",1570,"금양","화학","기타 화학","코스피",1
"A092070",92070,"디엔에프","반도체 관련장비 및 부품","반도체 부품","코스닥",1
